ID,OrganizationName,OrganizationType,Address,Address2,City,State,ZipCode,OrgPhone,PCUseRestrictions,HardwarePublic,AssistiveTechnology,InternetUpload,InternetDownload,VolunteersUsed,VolunteersUsedHow,VolunteersWantedHow,Longitude,Latitude,PublicWiFiDetail,NearestParking,NearestParkingDetail,HandicapAccessDetail,PublicTransportationDetail,TimeAllowedPerUser,TimeAllowedPerUserDetail,RoomList,Hours,WEBSITE,HOURS,APPOINTMENT,INTERNET,WIFI,TRAINING
1095,Auburn Gresham Senior Satellite Center,Senior Center,1040 W. 79th St,  ,Chicago,IL,60620,312-745-4797,Must be 55 or older,6,not purchased yet,768 Mbps,6 Mbps,yes,general senior center assistance,  ,-87.6503269,41.7505517,not activated yet,Free,Across the street,  ,  ,Timed,lab time during the week,  ,"Monday 8 to 4 

Tuesday 8 to 4 

Wednesday 8 to 4 

Thursday 8 to 4 

Friday 8 to 4 ",,,,,,
1096,Austin Senior Satellite Center,Senior Center,5071 W. Congress Pkwy,  ,Chicago,IL,60644,312-743-1538,Seniors who are 55 years or older who have taken a computer course at the Center or who have demonstrated computer skills,6,not purchased yet,1 mbps,6 Mbps,yes,general senior center duties,  ,-87.7520968,41.873986,not activated yet,Free,"40 spaces(in front of and side of bldg., free","Single floor bldg, ADA accessible",Bus Line/ 1/2 block an 1 block away,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1097,Chatham Senior Satellite Center,Senior Center,8300 S. Cottage Grove,  ,Chicago,IL,60619,312-745-0401,Open to 55 and older,7,not purchased yet,1 mbps,6 Mbps,yes,general senior center duties,  ,-87.605588,41.743501,not activated yet,Free,In designated areas18-32,Push buttons,  ,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1098,Englewood Senior Satellite Center,Senior Center,653 - 657 W. 63rd St,  ,Chicago,IL,60621,312-745-3328,For seniors over 55.,6,not purchased,.25 mbps,.25 Mbps,yes,General senior center duties,  ,-87.6421,41.7797275,not activated yet,Free,free,  ,  ,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1099,Edgewater Senior Satellite Center,Senior Center,5917 N. Broadway,  ,Chicago,IL,60660,312-742-5323,Seniors who are 55 and older,7,not purchased yet,768 Mbps,6 Mbps,yes,general senior center duties,  ,-87.6604282,41.9964054,not activated yet,Paid,Paid parking lot and metered street parking,Push button doors,"CTA, in front of facility",Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1100,Garfield Ridge Senior Satellite Center,Senior Center,5674-B S. Archer,  ,Chicago,IL,60638,312-745-4255,Seniors who are 55 and older,0,not purchased yet,1 mbps,384kbps,yes,General senior center duties,  ,-87.7529726,41.7974482,not activated yet,Free,  ,  ,  ,  ,  ,  ,"Monday 8 to 3 

Tuesday 8 to 3 

Wednesday 8 to 3 

Thursday 8 to 3 

Friday 8 to 3 ",,,,,,
1101,Kelvyn Park Senior Satellite Center,Senior Center,2715 N. Cicero,  ,Chicago,IL,60639,312-744-3350,Seniors who are 55 and older,7,not purchased yet,12Mpbs,2Mpbs,yes,General senior center duties,  ,-87.7463132,41.9301095,not activated yet,Free,parking on rear of building and side street,Push buttons,CTA in front,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1102,North Center Senior Satellite Center,Senior Center,4040 N. Oakley,  ,Chicago,IL,60618,312-744-4015,Seniors who are 55 and older,6,not purchased yet,1.5 Mbps,384kbps,yes,General senior center duties,  ,-87.6860838,41.9554059,not activated yet,Free,Parking lot and side street,Push button Doors,CTA,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1103,Norwood Senior Satellite Center,Senior Center,5801 N. Natoma,  ,Chicago,IL,60631,773-775-6071,Senior who are 55 and older,9,not purchased yet,1.5 Mbps,384kbps,yes,General senior center duties,  ,-87.7941343,41.9865927,not activated yet,Free,"Along side streets, local and free",Doorbel for assistance,Public transportation is 4 blocks away,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1104,Pilsen Senior Satellite Center,Senior Center,2021 S. Morgan St.,  ,Chicago,IL,60608,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6514466,41.8547234,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1105,Portage Park Senior Satellite Center,Senior Center,4100 N. Long,  ,Chicago,IL,60641,312-744-9022,Seniors who are 55 and older,2,not purchased yet,6.0Mbps,768Kbps,  ,  ,General Senior Center duties,-87.7635893,41.955369,not activated yet,Free,Parking lot,Doors with push buttons,CTA,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1106,Roseland Senior Satellite Center,Senior Center,10426 S. Michigan Ave.,  ,Chicago,IL,60628,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.621149,41.704555,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1107,South Chicago Senior Satellite Center,Senior Center,9233 S. Burley Ave.,  ,Chicago,IL,60617,773-734-9181,  ,  ,  ,  ,  ,  ,  ,  ,-87.5455455,41.7277221,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1108,West Town Senior Satellite Center,Senior Center,1613 W. Chicago Ave,  ,Chicago,IL,60622,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.667921,41.895741,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1109,Northwest Senior Center,Senior Center,3160 N. Milwaukee,  ,Chicago,IL,60618,312-742-7692,Seniors who are 55 and older,1,not purchased yet,1.5 Mbps,384kbps,yes,for general senior center duties,  ,-87.7225466,41.938154,not activated yet,Free,Free with parking permit,Push button doors,CTA,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 

Saturday 9 - 12 ",,,,,,
1110,Northeast Senior Center,Senior Center,2019 W. Lawrence,  ,Chicago,IL,60625,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6799957,41.9685728,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1111,Southeast Senior Center,Senior Center,1767 E. 79th St,  ,Chicago,IL,60649,312-745-4401,Seniors who are 55 and older,12,not purchased yet,1.5 Mbps,384kbps,yes,general senior center duties,  ,-87.5808523,41.7515252,not activated yet,Free,  ,  ,  ,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 

Saturday 9 to 4 ",,,,,,
1112,Southwest Senior Center,Senior Center,6117 S. Kedzie,  ,Chicago,IL,60629,312-745-3342,Seniors who are 55 and older,1,not purchased yet,1.5 Mbps,384kbps,yes,general senior center duties,  ,-87.702849,41.7820279,not activated yet,Free,  ,  ,  ,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 

Saturday 9 to 4 ",,,,,,
1113,Central West Senior Center,Senior Center,2102 W. Ogden,  ,Chicago,IL,60612,312-746-5300,Senior 60 and older,4,not purchased yet,1.5 Mbps,1.0 Mbps,yes,general senior center duties,  ,-87.678899,41.870543,Free Wifi,Free,Need to have permit,Automatic doors,  ,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1114,Englewood Community Service Center,Community Service Center,845 W. 69th St.,  ,Chicago,IL,60621,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6462822,41.7687163,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1115,Garfield Community Service Center,Community Service Center,10 S. Kedzie,  ,Chicago,IL,60612,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.706123,41.8806627,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1116,King Community Service Center,Community Service Center,4314 S. Cottage Grove Ave.,  ,Chicago,IL,60653,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.607065,41.8162639,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1117,North Area Community Service Center,Community Service Center,4740 N. Sheridan,  ,Chicago,IL,60640,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6549891,41.968383,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1118,South Chicago Community Service Center,Community Service Center,8650 S. Commercial,  ,Chicago,IL,60617,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.5514395,41.7378293,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1119,Trina Davila Community Service Center,Community Service Center,4357 W. Armitage,  ,Chicago,IL,60639,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.7359191,41.9170493,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1120,Center on Halsted,YCDC,3656 N. Halsted,  ,Chicago,IL,60613,773-472-6469,"During the week time is set aside for our Youth Program, our Senior Program, and classes. Mon-Wed five computers have a one hour time limit, 15 do not. Thurs-Sunday all computers have a 90 minute time limit and each patron gets a maximum of one session.",20,Windows OS basics,1.72 Mbps,.96 Mbps,yes,"Volunteers manage the day to day lab operations. They set up user accounts, manage waiting lists, answer patron questions and maintain a safe environment. Volunteers are requested to pick up one 2-4 hour shift a week and volunteer for a minimum of 3 months.","Volunteers manage the day to day lab operations. They set up user accounts, manage waiting lists, answer patron questions and maintain a safe environment. Volunteers are requested to pick up one 2-4 hour shift a week and volunteer for a minimum of 3 months.",-87.6498011,41.9488772,Open and throughout entire building,Paid,Free street parking; paid meter parking,Elevator and doors.,Red line 3 blocks; Halsted across street; Broadway bus 1 block,unlimited,"Thursday through Sunday each patron gets one session max of 90 minutes. Mon-Wed five computers have a one hour time limit, the remaining 15 do not.",  ,"Sunday 10am-5:30pm 

Monday 10am-7:30pm 

Tuesday 10am-7:30pm 

Wednesday 10am-7:30pm 

Thursday 10am-7:30pm 

Friday 10am-5:30pm 

Saturday 10am-5:30pm ",,,,,,
1121,Phalanx Family Services,YCDC,1201 W. 115th St.,  ,Chicago,IL,60643,773-291-1086,No food or drinks. No cell phone use. Employment and job skills use only. Illinois WorkNet Social Networking allowed for youth programs.,23,None,7mbps,32mbps,yes,Assist with clients,  ,-87.65216,41.684479,N/A,Free,"Parking lot, 20+, free","No push button doors,",CTA bus on 115th and Racine,unlimited,"No time limit, classes blocked off for trainings",  ,"Monday 8:30am-5pm 

Tuesday 8:30am-5pm 

Wednesday 8:30am-5pm 

Thursday 8:30am-5pm 

Friday 8:30am-5pm ",,,,,,
1122,Central States SER,YCDC,3948 W. 26th St.,  ,Chicago,IL,60623,773-542-9030,Web Restrictions- No Social Media No food or drink,0,Will have touch screen,3.05,1.8,no,  ,  ,-87.7239103,41.8443264,WiFi is available for private use,Paid,Street metered parking,"Elevator, Ramp, Bathrooms",Bus stop in front of building,unlimited,  ,  ,"Monday 8:30am - 5:00pm 

Tuesday 8:30am - 5:00pm 

Wednesday 8:30am - 5:00pm 

Thursday 8:30am - 5:00pm 

Friday 8:30am - 5:00pm ",,,,,,
1123,Easter Seals Metropolitan Chicago,YCDC,2615 W. Division,  ,Chicago,IL,60622,773-904-1010,Users cannot save or download files or programs to the hard drive. Saving files or documents to a disk is acceptable. Users may not install or use their own software programs on the public computers. ,14,"Zoomtexts, alternative keyboard ",2.73 Mbps,2.58 Mbps ,no,  ,  ,-87.692592,41.902664,  ,Paid,Metered parking on main street,  ,CTA,Timed,During lab hours,  ,"Monday 8:30am-4:30pm 

Tuesday 8:30am-4:30pm 

Wednesday 8:30am-4:30pm 

Thursday 8:30am-4:30pm 

Friday 8:30am-4:30pm ",,,,,,
1124,Sinai Community Institute,YCDC,2653 W. Ogden Ave.,  ,Chicago,IL,60608,773-257-6508,None NO Food or Drink No Cell Phones No Cussing Time limit of 45 minutes No dowloading or burning CDs No illegal activity ,9,None,21Mbps,22Mbps,no,  ,  ,-87.6928013,41.8621376,Password Protected,Paid,"6 Level Parking Garage. $4.00-less than 1 hour, $5.25- 1-2 hours","Ramp inside building, but not push button doors.",2 Bus stops nearby,Timed,45 minutes,  ,"Monday 8:30am-6:00pm 

Tuesday 8:30am-6:00pm 

Wednesday 8:30am-6:00pm 

Thursday 8:30am-6:00pm 

Friday 8:30am-6:00pm ",,,,,,
1125,Catholic Bishop of Chicago/St. Sabina ERC,YCDC,7909 S. Racine,  ,Chicago,IL,60620,773-783-3760,We only asked that computers are not used to view or create potentially offensive material No Food or Drink No downloading No installing software,37,"Jaws, ZoomText, Dragon Naturally Speaking, ",10Mbps,50Mbps,yes,Volunteer assist with data input and monitoring the resource room,Volunteer will assist customers and with data input,-87.6536886,41.7503081,  ,Free,Parking available on the street,"Ramps, computers are accessible to wheelchair access, No push button doors","Bus at the corner of 79th and Racine, Redline about 1 mile",Timed,1 hour job search 2 hours for online job application,  ,"Monday 9am-5pm 

Tuesday 9am-5pm 

Wednesday 9am-5pm 

Thursday 9am-5pm 

Friday 9am-5pm 

Saturday 10am---1pm ",,,,,,
1126,Albany Park Community Center,WorkNet Chicago,"3403 W. Lawrence Ave., Suite 301",  ,Chicago,IL,60625,773-539-3828,DO NOT change any settings or download any programs onto the computers. PLEASE do not try to fix it yourself. See a staff member. Use computers for job search only. If not job related it is not allowed. Use ONLY the programs available on the system. Use of USBâ€™s is not allowed ,7,  ,2.84Mbps,2.19Mbps,yes,"Assist customers in online job search, applying for jobs online and resume reviews and updates. ",As above.,-87.7134459,41.9684087,  ,Paid,"Street, in front, 5-7 spaces, $1.75hr","Elevators and wide hallways, no push button entrance. All desks are handicap accessible.","CTA, in front of building entrance.",Timed,1 hour unless its not busy.,  ,"Monday 10am-4.30pm 

Tuesday 10am-4.30pm 

Wednesday 10am-4.30pm 

Thursday 10am-4.30pm 

Friday 10am-4.30pm ",,,,,,
1127,Asian Human Services,WorkNet Chicago,"4820 N. Broadway, 3rd Floor",  ,Chicago,IL,60640,773-293-8100,"Strictly employment related usage allowed (i.e. no youtube, facebook, etc.) No installations. ",11,  ,1.5Mbps,2Mbps,no,  ,Help at resource room.,-87.660461,41.969652,"Protected WPA2, strong stregn",Paid,"Street parking if available, $1.75hr",  ,"CTA, corner of the street.",Timed,45-60 mins,  ,"Monday 9-5 

Tuesday 9-5 

Wednesday 9-5 

Thursday 9-5 

Friday 9-5 ",,,,,,
1128,CARES Chicago,WorkNet Chicago,"3333 W. Arthington, Suite 139",  ,Chicago,IL,60624,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.7096229,41.869682,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1129,CFL/Workers Assistance Committee,WorkNet Chicago,"130 E. Randolph, Suite 2600",  ,Chicago,IL,60601,312-564-9431,"No computer games, gambling and pornography ",8,We do not have assistive technology.,1.5 MG,18 MG,no,  ,We would be interested in learning more about how volunteers are being utilized at other organizations.,-87.616811,41.884849,"Password protected, strong signal accessible throughout office.",Paid,"As we are located downtown, there is paid parking available in the Prudential Plaza and potential street parking.",The building is handicap accessible with elevators and doorbells at office entrance if assistance is needed. ,"various El stations and bus routes, metra",unlimited,Unlimited time between hours of operation,  ,"Monday 9 a.m. - 4:30 p.m. 

Tuesday 9 a.m. - 4:30 p.m. 

Wednesday 9:00 a.m. - 4:30 p.m. 

Thursday 9:00 a.m. - 4:30 p.m. 

Friday 9:00 a.m. - 4:30 p.m. ",,,,,,
1130,Chinese American Service League,WorkNet Chicago,2141 S. Tan Court,  ,Chicago,IL,60616,312-791-0418,The PC in resource center and computer training are designated to job seekers clients and/or youth particiapnts.,12,We have one enlarge keyboard and one enlarge screen in one of the PC in resource center.,700KB,6MB,yes,"Voluneers are helping out job seekers for mock interview and Vocational English as Second Langauge (VESL) training. Moreover, some volunteers are helping out youth participants in homework tutoring and ESL.",We would like to have more volunteers in helping out mock interviews for job seekers and homework tutoring and ACT preparation for youth participants.,-87.6358772,41.8544578,  ,Paid,Street parking,Only Elevatorts,  ,unlimited,  ,  ,"Monday 9am-7pm 

Tuesday 9am-7pm 

Wednesday 9am-7pm 

Thursday 9am-7pm 

Friday 9am-7pm ",,,,,,
1131,"Dynamic Educational Systems, Inc. ",WorkNet Chicago,11004 S. Michigan Ave.,  ,Chicago,IL,60628,  ,  ,  ,  ,  ,  ,  ,  ,  ,-87.6207866,41.6943107,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1132,"Dynamic Educational Systems, Inc. ",WorkNet Chicago,10001 S. Woodlawn Ave.,  ,Chicago,IL,60628,773-233-4364,  ,  ,  ,  ,  ,  ,  ,  ,-87.5903737,41.7141033,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1133,Easter Seals Metropolitan Chicago,WorkNet Chicago,"120 W. Madison, Oak Park",  ,Chicago,IL,60302,708-524-8700,Computers are only to be used for employment or educational purposes. All printed material must be relevant to employment and eduaction as well. ,65,Zoomtext Screen Reading Software JAWS Windows 7 Accessibility Options Narrator Sticky keys One stand-alone CCTV One Computer Split Screen CCTV Phone amplifier TTY ,  ,  ,no,  ,  ,-87.804292,41.879925,  ,  ,  ,  ,  ,  ,  ,  ,"Monday 8am-4pm 

Tuesday 8am-4pm 

Wednesday 8am-4pm 

Thursday 8am-4pm 

Friday 8am-4pm ",,,,,,
1134,Goodwill Industries,WorkNet Chicago,6054 South Western,  ,Chicago,IL,60629,773-627-5752,Usage of facebook website if restricted.,26,"Handicapped Accessible Computer Station with adjustable table. Phone Video Relay for Deaf and Hard of Hearing Population. Low front desk cubicle for customers in wheelchair, Screen Magnifyers.",.97Mbps,1.53Mbps,yes,"Volunteers assist and support staff in administrative support roles, usually contacting / re-engaging customers, informing customers of hiring events, workshops, etc.","To assist and support staff in administrative tasks, usually contacting / re-engaging customers, filing paperwork, informing customers of hiring events, workshops, etc.",-87.6851616,41.7791448,  ,Free,"Approximately 10 parking spots available in rear of facility, and additional parking across street of facility, in Blast Fitness Parking Area",Enlared / Widened Handicap Accessible Parking Spot Available,Bus Stop directly in front of facility,unlimited,"Facility has more than enough computers, that doesn't require time limits or restrictions in Lab",  ,"Monday 8am - 4pm 

Tuesday 8am - 4pm 

Wednesday 8am - 4pm 

Thursday 8am - 4pm 

Friday 8am - 4pm ",,,,,,
1135,Greater West Town Development Corporation,WorkNet Chicago,790 N. Milwaukee Avenue,  ,Chicago,IL,60622,312-563-9570,  ,  ,  ,  ,  ,  ,  ,  ,-87.6555939,41.895987,  ,  ,  ,  ,  ,  ,  ,  ,"Monday 8:00 am-4:30 pm 

Tuesday 8:00 am-4:30 pm 

Wednesday 8:00 am-4:30 pm 

Thursday 8:00 am-4:30 pm 

Friday 8:00 am-4:30 pm ",,,,,,
1136,Howard Area Community Center,WorkNet Chicago,1623 W. Howard Ave.,  ,Chicago,IL,60626,773-262-6622,Computers are only used for employment or educational purposes.,41,"Dragon Naturally Speaking System software, large print keyboards, wide screen monitors and 3M Gel Wrist Rests. ",6.48,49.85,yes,"Volunteers assist with computer classes, updating resumes, and job search. ",  ,-87.6727461,42.019484,"Available, WEP secured, Strong signal",Paid,"street parking, 10-12 spaces in fron, $1.75hr","No automatic door, but space is wide and all desks accommodate disabled, as well as single bathroom.","CTA bus and Red Line train, corner of the street for both.",unlimited,"Enough stations to allow unlimited time limit. If overcrowded, then time is regulated.",  ,"Monday 9 am- 5 pm 

Tuesday 9am- 8pm 

Wednesday 9am- 5pm 

Thursday 9am - 8pm 

Friday 9am - 5pm 

Saturday 9am - 1pm ",,,,,,
1137,Inspiration Corporation,WorkNet Chicago,"4554 N. Broadway, Suite 207",  ,Chicago,IL,60613,773-878-0981,"Lab is set up for 5 users at a time with a 30 min restriction, no food or drinks and no cell phone usage.",5,  ,2.64Mbps,1.54Mbps,yes,"Volunteers are used to monitor the resource room and to assist participants with computer based applications (mostly job search websites, e-mail, and MS Office applications).",  ,-87.6573309,41.9651855,  ,Paid,Street out front is metered. However there is neighborhood parking that is free. ,"Doors, elevator. ",Accessible via CTA red line and buses. ,Timed,"30 minutes, due to capacity. ",  ,"Monday 8:30-4:30 

Tuesday 8:30-4:30 

Wednesday 8:30-4:30 

Thursday 8:30-4:30 

Friday 8:30-4:30 ",,,,,,
1138,Instituto del Progreso Latino,WorkNet Chicago,4600 S. Wood,  ,Chicago,IL,60609,773-890-0055,No food or drink No social media (Facebook or Youtube),10,Jaws ZomText,1Mbps,1Mbps,yes,lab assistant,lab assitant and teachers aid,-87.6702229,41.8102159,  ,Free,Parking around neighborhood -but hard to find,All PC are handicap accessible however there are not handicap doors.,Bus at Ashland and 47th and the Orange Line is close by.,Timed,2 hours for non WIA registered users unlimited for WIA,  ,"Monday 9:00am - 5:00pm 

Tuesday 9:00am - 5:00pm 

Wednesday 9:00am - 5:00pm 

Thursday 9:00am - 5:00pm 

Friday 9:00am - 5:00pm ",,,,,,
1139,Polish American Association,WorkNet Chicago,3815-3819 N. Cicero,  ,Chicago,IL,60641,773-975-9898,  ,  ,  ,  ,  ,  ,  ,  ,-87.7471782,41.9503962,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1140,Pyramid Partnership Inc.,WorkNet Chicago,3057 N. Lincoln Avenue,  ,Chicago,IL,60657,773-975-9898,  ,12,  ,  ,  ,  ,  ,  ,-87.665162,41.93753,  ,Paid,"Paid on main street, free parking along side streets",  ,CTA,unlimited,  ,  ,  ,,,,,,
1141,Safer Foundation,WorkNet Chicago,571 W. Jackson Blvd,  ,Chicago,IL,60661,312-922-2200,"Pornographic Websites, Social Networking Websites",10,  ,2.79 MBPS,2.39 MBPS,yes,"Assist with typing class, Assist with day to day processing, Resumes, Setting up email addresses/ IWDS accounts and job search assistance",  ,-87.6422225,41.8779927,  ,Paid,"Pay to park lots, metered parking on street",  ,CTA,Timed,  ,  ,"Monday 8:00-4:00 

Tuesday 8:30-4:00 

Wednesday 8:00-4:00 

Thursday 8:30-4:00 

Friday 8:30-4:00 ",,,,,,
1142,"Ser Services, Inc.",WorkNet Chicago,"3948 W. 26th St., Suite 213",  ,Chicago,IL,60623,773-542-9030,Web Restrictions - no social networking ,29,None,6.0Mbps,6.0Mbps,yes,To monitor the PCC resource room.,  ,-87.7239103,41.8443264,WiFi is available for private use,Paid,Street metered parking,"Elevator, Ramp, Bathrooms",Bus stop in front of building,unlimited,  ,  ,"Monday 8:30-5 

Tuesday 8:30-5 

Wednesday 8:30-5 

Thursday 8:30-5 

Friday 8:30-5 ",,,,,,
1143,Southeast Chicago Development Comission,WorkNet Chicago,"2938 E. 91st, Room 304",  ,Chicago,IL,60617,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.5523829,41.7301711,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1144,Garfield Workforce Center,Workforce Centers,10 S. Kedzie,  ,Chicago,IL,60624,773-722-3885,"No food or drink, 1 hour time limit. No children allowed in Resource Room.",15,Clear View+,1.33mbps,1.34mbps,yes,We use them to help with the center,  ,-87.706123,41.8806627,  ,Free,"Parking lot, limited spaces 5-10, free",Ramps and doors with push button entry,"CTA, corner of the street",Timed,1 hour- sign in sheet.,  ,"Monday 9am-4:45pm 

Tuesday 9am-4:45pm 

Wednesday 9am-4:45pm 

Thursday 9am-4:45pm 

Friday 9am-4:45pm ",,,,,,
1145,Mid-South Workforce Center,Workforce Centers,4314 S. Cottage Grove Ave.,  ,Chicago,IL,60653,773-538-5627,Computers are for job search and training.,25,Jaws software Zoom Software Open Books Software Dragon Naturally Speaker Software Close circuit television Table top cassette player Pocket Talker Pro Traveller CCTV Magnifer ,3.89 mbps,4.04 mbps,no,  ,"Volunteers will: assist customers with resumes, cover letters, and job applications sign in customers and assign customers to computers place swipe cards information in the computers look up job information make copies and assist with faxes assist with various other assignments",-87.607065,41.8162639,  ,Free,There is free parking in the rear of the building for staff and visitors. There is also free parking on the Evans side of the building.,The building is Handicap accessible,The #4 Cottage Grove bus runs North and South; the number #43 runs east and west. ,Timed,Customers are allowed one hour on the computers.( Maybe more depending on how many people are waiting.),  ,"Sunday 8:30-5:00pm 

Monday 8:30am-5:00pm 

Tuesday 8:30 -5:00pm 

Wednesday 8:30-5:00p 

Thursday 8:30-5:00p 

Friday 8:30-5:00p ",,,,,,
1146,Pilsen Workforce Center,Workforce Centers,1657 S. Blue Island Ave.,  ,Chicago,IL,60608,222-222-2222,  ,  ,  ,  ,  ,  ,  ,  ,-87.660666,41.858696,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1147,Northside Workforce Center,Workforce Centers,4740 N. Sheridan,  ,Chicago,IL,60640,773-334-4747,  ,  ,  ,  ,  ,  ,  ,  ,-87.6549891,41.968383,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1148,Southwest Workforce Center,Workforce Centers,"7500 S. Pulaski, Bldg 100",  ,Chicago,IL,60652,773-884-7000,"Social Media Websites (i.e. Facebook), pornography, Paypal, Internet Shopping.",20,"Large Monitor, Large Print keyboards, Zoom Text, Open Book, JAWS, Audio Tape Player, Braille Labeler, Kensington Mouse, Dragon Natural Speaking, Adjustment Keyboard Tray",2.56Mbps,2.55Mbps,yes,IDES Work Study Students and Job Corp Interns assist in the Resource Room.,Resource Room and Intake Department.,-87.7238989,41.7561784,No Wifi is provided,Free,Free Parking lot on campus,"Ramps, Doors, Computers, Washrooms",Bus stops are located across the street,unlimited,One Hour Time Limit,  ,"Monday 8am-5pm 

Tuesday 8am-5pm 

Wednesday 8am-5pm 

Thursday 8am-5pm 

Friday 8am-5pm ",,,,,,
1149,Renaissance Court,Senior Center,78 E. Washington,  ,Chicago,IL,60602,312-744-4551,Seniors who are 55 and older,10,not purchaseed yet,1.5 Mbps,384kbps,yes,General Senior Center duties,  ,-87.6250434,41.8836686,Free,Paid,Paid Parking lots all around area,  ,  ,Timed,lab time during the week,  ,"Monday 8:30 to 4:30 

Tuesday 8:30 to 4:30 

Wednesday 8:30 to 4:30 

Thursday 8:30 to 4:30 

Friday 8:30 to 4:30 ",,,,,,
1150,HWC Hospitality Program,City Colleges of Chicago,226 W. Jackson Blvd.,  ,Chicago,IL,60606,111-111-1111,  ,  ,  ,  ,  ,  ,  ,  ,-87.6349993,41.8782266,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
1151,Instituto del Progreso Latino,WorkNet Chicago,2520 S. Western,  ,Chicago,IL,60608,773-890-0055,  ,  ,  ,  ,  ,  ,  ,  ,-87.6841139,41.845649,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,
